ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,StandardCost,ListPrice,DealerPrice,Color,SafetyStockLevel,ReorderPoint,Size,SizeRange,Weight,DaysToManufacture,ProductLine,Class,Style,ModelName,EnglishDescription,StartDate,EndDate,Status
238,FR-R92R-62,14,LB ,CM ,"HL Road Frame - Red, 62",747.9682,1263.4598,758.0759,Red,500,375,62,60-62 CM,2.3,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
239,FR-R92R-62,14,LB ,CM ,"HL Road Frame - Red, 62",722.2568,1301.3636,780.8182,Red,500,375,62,60-62 CM,2.3,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
240,FR-R92R-62,14,LB ,CM ,"HL Road Frame - Red, 62",868.6342,1431.5,858.9,Red,500,375,62,60-62 CM,2.3,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
241,FR-R92R-44,14,LB ,CM ,"HL Road Frame - Red, 44",747.9682,1263.4598,758.0759,Red,500,375,44,42-46 CM,2.12,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
242,FR-R92R-44,14,LB ,CM ,"HL Road Frame - Red, 44",722.2568,1301.3636,780.8182,Red,500,375,44,42-46 CM,2.12,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
243,FR-R92R-44,14,LB ,CM ,"HL Road Frame - Red, 44",868.6342,1431.5,858.9,Red,500,375,44,42-46 CM,2.12,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
244,FR-R92R-48,14,LB ,CM ,"HL Road Frame - Red, 48",747.9682,1263.4598,758.0759,Red,500,375,48,48-52 CM,2.16,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
245,FR-R92R-48,14,LB ,CM ,"HL Road Frame - Red, 48",722.2568,1301.3636,780.8182,Red,500,375,48,48-52 CM,2.16,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
246,FR-R92R-48,14,LB ,CM ,"HL Road Frame - Red, 48",868.6342,1431.5,858.9,Red,500,375,48,48-52 CM,2.16,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
247,FR-R92R-52,14,LB ,CM ,"HL Road Frame - Red, 52",747.9682,1263.4598,758.0759,Red,500,375,52,48-52 CM,2.2,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
248,FR-R92R-52,14,LB ,CM ,"HL Road Frame - Red, 52",722.2568,1301.3636,780.8182,Red,500,375,52,48-52 CM,2.2,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
249,FR-R92R-52,14,LB ,CM ,"HL Road Frame - Red, 52",868.6342,1431.5,858.9,Red,500,375,52,48-52 CM,2.2,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
250,FR-R92R-56,14,LB ,CM ,"HL Road Frame - Red, 56",747.9682,1263.4598,758.0759,Red,500,375,56,54-58 CM,2.24,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
251,FR-R92R-56,14,LB ,CM ,"HL Road Frame - Red, 56",722.2568,1301.3636,780.8182,Red,500,375,56,54-58 CM,2.24,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,00:00.0,NULL
252,FR-R92R-56,14,LB ,CM ,"HL Road Frame - Red, 56",868.6342,1431.5,858.9,Red,500,375,56,54-58 CM,2.24,1,R ,H ,U ,HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,00:00.0,NULL,Current
253,FR-R38B-58,14,LB ,CM ,"LL Road Frame - Black, 58",176.1997,297.6346,178.5808,Black,500,375,58,54-58 CM,2.46,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
254,FR-R38B-58,14,LB ,CM ,"LL Road Frame - Black, 58",170.1428,306.5636,183.9382,Black,500,375,58,54-58 CM,2.46,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
255,FR-R38B-58,14,LB ,CM ,"LL Road Frame - Black, 58",204.6251,337.22,202.332,Black,500,375,58,54-58 CM,2.46,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,NULL,Current
256,FR-R38B-60,14,LB ,CM ,"LL Road Frame - Black, 60",176.1997,297.6346,178.5808,Black,500,375,60,60-62 CM,2.48,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
257,FR-R38B-60,14,LB ,CM ,"LL Road Frame - Black, 60",170.1428,306.5636,183.9382,Black,500,375,60,60-62 CM,2.48,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
258,FR-R38B-60,14,LB ,CM ,"LL Road Frame - Black, 60",204.6251,337.22,202.332,Black,500,375,60,60-62 CM,2.48,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,NULL,Current
259,FR-R38B-62,14,LB ,CM ,"LL Road Frame - Black, 62",176.1997,297.6346,178.5808,Black,500,375,62,60-62 CM,2.5,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
260,FR-R38B-62,14,LB ,CM ,"LL Road Frame - Black, 62",170.1428,306.5636,183.9382,Black,500,375,62,60-62 CM,2.5,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
261,FR-R38B-62,14,LB ,CM ,"LL Road Frame - Black, 62",204.6251,337.22,202.332,Black,500,375,62,60-62 CM,2.5,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,NULL,Current
262,FR-R38R-44,14,LB ,CM ,"LL Road Frame - Red, 44",181.4857,306.5636,183.9382,Red,500,375,44,42-46 CM,2.32,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
263,FR-R38R-44,14,LB ,CM ,"LL Road Frame - Red, 44",187.1571,337.22,202.332,Red,500,375,44,42-46 CM,2.32,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
264,FR-R38R-48,14,LB ,CM ,"LL Road Frame - Red, 48",181.4857,306.5636,183.9382,Red,500,375,48,48-52 CM,2.36,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
265,FR-R38R-48,14,LB ,CM ,"LL Road Frame - Red, 48",187.1571,337.22,202.332,Red,500,375,48,48-52 CM,2.36,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
266,FR-R38R-52,14,LB ,CM ,"LL Road Frame - Red, 52",181.4857,306.5636,183.9382,Red,500,375,52,48-52 CM,2.4,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
267,FR-R38R-52,14,LB ,CM ,"LL Road Frame - Red, 52",187.1571,337.22,202.332,Red,500,375,52,48-52 CM,2.4,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
268,FR-R38R-58,14,LB ,CM ,"LL Road Frame - Red, 58",181.4857,306.5636,183.9382,Red,500,375,58,54-58 CM,2.46,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
269,FR-R38R-58,14,LB ,CM ,"LL Road Frame - Red, 58",187.1571,337.22,202.332,Red,500,375,58,54-58 CM,2.46,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
270,FR-R38R-60,14,LB ,CM ,"LL Road Frame - Red, 60",181.4857,306.5636,183.9382,Red,500,375,60,60-62 CM,2.48,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
271,FR-R38R-60,14,LB ,CM ,"LL Road Frame - Red, 60",187.1571,337.22,202.332,Red,500,375,60,60-62 CM,2.48,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
272,FR-R38R-62,14,LB ,CM ,"LL Road Frame - Red, 62",181.4857,306.5636,183.9382,Red,500,375,62,60-62 CM,2.5,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
273,FR-R38R-62,14,LB ,CM ,"LL Road Frame - Red, 62",187.1571,337.22,202.332,Red,500,375,62,60-62 CM,2.5,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
274,FR-R72R-44,14,LB ,CM ,"ML Road Frame - Red, 44",352.1394,594.83,356.898,Red,500,375,44,42-46 CM,2.22,1,R ,M ,U ,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",00:00.0,00:00.0,NULL
275,FR-R72R-48,14,LB ,CM ,"ML Road Frame - Red, 48",352.1394,594.83,356.898,Red,500,375,48,48-52 CM,2.26,1,R ,M ,U ,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",00:00.0,00:00.0,NULL
276,FR-R72R-52,14,LB ,CM ,"ML Road Frame - Red, 52",352.1394,594.83,356.898,Red,500,375,52,48-52 CM,2.3,1,R ,M ,U ,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",00:00.0,00:00.0,NULL
277,FR-R72R-58,14,LB ,CM ,"ML Road Frame - Red, 58",352.1394,594.83,356.898,Red,500,375,58,54-58 CM,2.36,1,R ,M ,U ,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",00:00.0,00:00.0,NULL
278,FR-R72R-60,14,LB ,CM ,"ML Road Frame - Red, 60",352.1394,594.83,356.898,Red,500,375,60,60-62 CM,2.38,1,R ,M ,U ,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",00:00.0,00:00.0,NULL
279,FR-R38B-44,14,LB ,CM ,"LL Road Frame - Black, 44",176.1997,297.6346,178.5808,Black,500,375,44,42-46 CM,2.32,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
280,FR-R38B-44,14,LB ,CM ,"LL Road Frame - Black, 44",170.1428,306.5636,183.9382,Black,500,375,44,42-46 CM,2.32,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
281,FR-R38B-44,14,LB ,CM ,"LL Road Frame - Black, 44",204.6251,337.22,202.332,Black,500,375,44,42-46 CM,2.32,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,NULL,Current
282,FR-R38B-48,14,LB ,CM ,"LL Road Frame - Black, 48",176.1997,297.6346,178.5808,Black,500,375,48,48-52 CM,2.36,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
283,FR-R38B-48,14,LB ,CM ,"LL Road Frame - Black, 48",170.1428,306.5636,183.9382,Black,500,375,48,48-52 CM,2.36,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
284,FR-R38B-48,14,LB ,CM ,"LL Road Frame - Black, 48",204.6251,337.22,202.332,Black,500,375,48,48-52 CM,2.36,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,NULL,Current
285,FR-R38B-52,14,LB ,CM ,"LL Road Frame - Black, 52",176.1997,297.6346,178.5808,Black,500,375,52,48-52 CM,2.4,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
286,FR-R38B-52,14,LB ,CM ,"LL Road Frame - Black, 52",170.1428,306.5636,183.9382,Black,500,375,52,48-52 CM,2.4,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,00:00.0,NULL
287,FR-R38B-52,14,LB ,CM ,"LL Road Frame - Black, 52",204.6251,337.22,202.332,Black,500,375,52,48-52 CM,2.4,1,R ,L ,U ,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",00:00.0,NULL,Current
288,FR-M94S-42,12,LB ,CM ,"HL Mountain Frame - Silver, 42",623.8403,1204.3248,722.5949,Silver,500,375,42,42-46 CM,2.72,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
289,FR-M94S-42,12,LB ,CM ,"HL Mountain Frame - Silver, 42",660.9142,1240.4545,744.2727,Silver,500,375,42,42-46 CM,2.72,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
290,FR-M94S-42,12,LB ,CM ,"HL Mountain Frame - Silver, 42",747.2002,1364.5,818.7,Silver,500,375,42,42-46 CM,2.72,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,NULL,Current
291,FR-M94S-44,12,LB ,CM ,"HL Mountain Frame - Silver, 44",706.811,1364.5,818.7,Silver,500,375,44,42-46 CM,2.76,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
292,FR-M94S-52,12,LB ,CM ,"HL Mountain Frame - Silver, 48",706.811,1364.5,818.7,Silver,500,375,48,48-52 CM,2.8,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
293,FR-M94S-46,12,LB ,CM ,"HL Mountain Frame - Silver, 46",623.8403,1204.3248,722.5949,Silver,500,375,46,42-46 CM,2.84,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
294,FR-M94S-46,12,LB ,CM ,"HL Mountain Frame - Silver, 46",660.9142,1240.4545,744.2727,Silver,500,375,46,42-46 CM,2.84,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
295,FR-M94S-46,12,LB ,CM ,"HL Mountain Frame - Silver, 46",747.2002,1364.5,818.7,Silver,500,375,46,42-46 CM,2.84,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,NULL,Current
296,FR-M94B-42,12,LB ,CM ,"HL Mountain Frame - Black, 42",617.0281,1191.1739,714.7043,Black,500,375,42,42-46 CM,2.72,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
297,FR-M94B-42,12,LB ,CM ,"HL Mountain Frame - Black, 42",653.6971,1226.9091,736.1455,Black,500,375,42,42-46 CM,2.72,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,00:00.0,NULL
298,FR-M94B-42,12,LB ,CM ,"HL Mountain Frame - Black, 42",739.041,1349.6,809.76,Black,500,375,42,42-46 CM,2.72,1,M ,H ,U ,HL Mountain Frame,Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.,00:00.0,NULL,Current
